" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","78","1447 力鵬","紡織","0.00","0.20","0.00","0.00","0.00","0.50","1.00","0.50","0.50","1.50","0.00","0.00","0.40","1.00","0.00","10.65"," "
" "," ","79","1449 佳和","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.20"," "
" "," ","80","1451 年興","紡織","0.00","2.00","1.50","1.50","1.50","1.80","2.00","1.30","1.00","1.25","1.00","0.50","1.50","1.70","1.50","19.55"," "
" "," ","81","1452 宏益","紡織","1.20","1.40","1.40","1.20","1.80","1.00","0.80","0.50","0.50","1.20","0.50","0.20","0.45","0.30","0.20","23.35"," "
" "," ","82","1453 大將","紡織","0.20","1.00","0.00","0.00","0.20","0.00","0.49","0.85","0.40","0.50","0.00","0.00","0.00","0.00","0.00","8.21"," "
" "," ","83","1454 台富","紡織","0.25","0.20","0.20","0.30","0.50","0.40","0.25","0.20","0.50","0.50","0.00","0.20","0.30","0.00","0.00","9.99"," "
" "," ","84","1455 集盛","紡織","0.00","0.20","0.40","0.30","0.20","0.20","0.20","0.10","0.20","1.20","0.25","0.00","0.30","0.30","0.10","19.25"," "
" "," ","85","1456 怡華","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.40"," "
" "," ","86","1457 宜進","紡織","1.00","1.00","0.70","0.50","0.60","0.30","0.49","0.00","0.00","0.44","0.00","0.00","0.00","0.00","0.00","16.80"," "
" "," ","87","1459 聯發","紡織","0.00","0.00","0.10","0.00","0.20","0.55","0.35","0.10","0.47","1.50","0.30","0.00","0.80","0.28","0.10","11.90"," "
" "," ","88","1460 宏遠","紡織","0.00","0.20","0.20","0.80","0.80","0.70","0.20","0.00","0.00","0.00","0.00","0.00","0.20","0.15","0.20","10.85"," "
" "," ","89","1463 強盛","紡織","0.60","1.40","3.00","3.30","0.70","0.53","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","13.35"," "
" "," ","90","1464 得力","紡織","1.50","1.50","2.20","2.50","2.18","1.46","0.00","0.20","0.20","0.15","0.20","0.00","0.20","0.00","0.00","16.15"," "
" "," ","91","1465 偉全","紡織","1.50","0.30","0.40","0.65","0.90","0.95","2.50","1.00","1.10","2.20","0.50","0.55","0.75","0.60","0.80","12.85"," "
" "," ","92","1466 聚隆","紡織","0.00","0.00","0.00","0.00","0.00","0.50","0.47","1.00","1.00","0.70","0.00","0.00","0.00","0.00","0.00","17.00"," "
" "," ","93","1467 南緯","紡織","0.00","0.00","0.00","0.00","0.00","0.50","0.20","0.40","0.40","0.00","0.00","0.00","0.60","1.15","1.09","15.10"," "
" "," ","94","1468 昶和","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.75"," "
" "," ","95","1470 大統染","紡織","0.80","0.40","0.50","0.55","0.60","0.60","0.30","0.00","0.20","0.20","0.00","0.00","0.00","0.00","0.00","16.30"," "
" "," ","96","1471 首利","電零","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.27","0.00","0.10","0.00","1.00","7.40"," "
" "," ","97","1472 三洋紡","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.02"," "
" "," ","98","1473 台南","紡織","0.50","0.50","0.50","1.20","1.20","1.60","2.50","1.00","2.30","2.42","1.50","1.50","2.50","3.78","3.10","17.15"," "
" "," ","99","1474 弘裕","紡織","0.20","0.30","0.60","0.60","0.50","0.30","0.30","0.10","0.30","0.51","0.20","0.00","0.50","0.50","0.46","15.10"," "
" "," ","100","1475 本盟","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.95"," "
" "," ","101","1503 士電","電機","1.60","1.50","1.30","1.20","1.50","1.50","1.40","1.00","1.20","1.20","1.20","0.60","1.20","1.20","1.20","51.60"," "
" "," ","102","1504 東元","電機","0.99","0.90","0.86","0.88","0.80","1.10","1.10","1.00","0.90","0.80","0.55","0.50","1.00","0.70","0.60","30.25"," "
" "," ","103","1506 正道","電機","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.52"," "
" "," ","104","1507 永大","電機","2.20","1.80","2.00","2.40","2.70","3.00","2.50","2.30","2.20","2.00","1.50","1.00","1.00","0.80","1.00","58.30"," "
" "," ","105","1512 瑞利","電機","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.50","0.00","0.00","0.60","0.50","0.70","4.21"," "
" "," ","106","1513 中興電","電機","1.19","1.00","1.00","1.00","1.00","1.20","0.80","1.00","1.00","1.00","1.00","0.88","1.40","1.40","1.50","47.35"," "
" "," ","107","1514 亞力","電機","1.20","1.00","0.50","0.50","0.48","0.45","0.30","0.50","0.35","0.30","0.15","0.00","0.27","0.25","0.20","25.20"," "
" "," ","108","1515 力山","電機","3.00","2.00","1.20","0.50","0.50","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","69.30"," "
" "," ","109","1516 川飛","其他","0.38","0.46","0.49","0.74","2.57","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.20"," "
" "," ","110","1517 利奇","電機","0.20","0.25","0.20","0.20","0.50","0.50","0.50","0.70","0.70","0.70","0.60","0.70","0.60","0.60","0.15","26.90"," "
" "," ","111","1519 華城","電機","1.00","0.30","0.40","0.80","0.60","0.60","0.32","0.25","0.50","1.00","1.50","2.70","2.50","1.29","0.34","37.90"," "
" "," ","112","1521 大億","電機","1.00","3.80","5.20","5.20","5.00","4.30","3.70","3.50","4.00","4.00","3.00","1.00","1.50","1.30","2.50","42.60"," "
" "," ","113","1522 堤維西","電機","1.40","1.30","1.60","2.00","1.50","1.00","0.00","0.00","0.20","0.30","1.50","0.60","0.82","0.30","0.00","19.10"," "
" "," ","114","1524 耿鼎","電機","0.40","0.50","0.45","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.30","0.60","0.60","9.77"," "
